Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,7710.0,5650.0,1555.0,Jet Airways,6,19h 0m,Economy,411,9W,9W_411_9W_495_,True,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,21h 50m,Economy,315,9W,9W_315_9W_411_,True,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,23h 5m,Economy,315,9W,9W_315_9W_443_,True,2018-10-25
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,23h 55m,Economy,315,9W,9W_315_9W_397_,True,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,7710.0,5650.0,1555.0,Jet Airways,7,24h 20m,Economy,411,9W,9W_411_9W_381_,True,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,7710.0,5650.0,1555.0,Jet Airways,7,25h 45m,Economy,2738,JK,9W_2738_9W_411_,True,2018-10-25
AMD,BOM,2018-11-02T06:25:00Z,06:25,07:40,7710.0,5650.0,1555.0,Jet Airways,7,27h 0m,Economy,2738,JK,9W_2738_9W_443_,True,2018-10-25
AMD,BOM,2018-11-02T04:00:00Z,04:00,05:15,8172.0,7400.0,517.0,Air India,9,14h 30m,Economy,30,AI,AI_30_AI_607_,False,2018-10-25
AMD,MAA,2018-11-02T06:50:00Z,06:50,09:10,8697.0,7900.0,542.0,Air India,3,7h 45m,Economy,982,AI,AI_982_AI_563_,False,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,4,4h 30m,Economy,913,9W,9W_913_9W_495_,False,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,4,9h 50m,Economy,913,9W,9W_913_9W_381_,False,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,6,13h 15m,Economy,913,9W,9W_913_9W_411_,False,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,6,14h 30m,Economy,913,9W,9W_913_9W_443_,True,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,6,15h 20m,Economy,913,9W,9W_913_9W_397_,True,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,2,17h 5m,Economy,913,9W,9W_913_9W_481_,True,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,7,23h 15m,Economy,913,9W,9W_913_9W_413_,True,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,8760.0,6650.0,1605.0,Jet Airways,7,24h 50m,Economy,913,9W,9W_913_9W_483_,True,2018-10-25
